# {"dimensions": 52}
arab #eqypt #libya k x 2 h 2
arab #syria #syria 9 n 4 3 d
elections #gop #perry m x k 1 g
arab #syria #libya c u k a 2
elections #romney #gop n w 4 p 6
soccer #chica #manutd d z u w z
elections #perry #gop y s f o u
soccer #chica #manutd n n p 9 o
elections #bachmann #gop 5 e w 9 m
elections #perry #gop s 4 4 k 7
soccer #fergie #manutd p 4 y w w
page3 #khloe #kim 7 r l 2 w
soccer #fergie #manutd k y p g 3
elections #perry #gop z u j a g
elections #bachmann #gop 8 h m x q
soccer #manutd #manutd w r p f c
soccer #manutd #manutd y n 2 w 4
soccer #rooney #manutd 7 e r y z
page3 #kim #paris v l l 4 z
arab #libya #arab i x e g 4
elections #gop #perry 5 7 2 7 v
soccer #manutd #chica o v r r 5
soccer #fergie #fergie 3 f v z x
soccer #rooney #fergie i v 7 c f
soccer #fergie #manutd k g n g w
soccer #fergie #manutd 7 8 p i v
arab #libya #libya d q 1 o s
elections #perry #gop h a 3 b 1
arab #syria #eqypt 4 i 0 o n
soccer #manutd #chica s r v 3 8
elections #gop #bachmann z 9 b f x
soccer #manutd #manutd a w b 6 m
arab #syria #eqypt z h 1 5 e
arab #libya #libya o v 1 h i
elections #gop #perry h 0 u 2 e
arab #syria #arab q t b t 8
page3 #khloe #khloe a 0 c v w
soccer #fergie #rooney 5 0 o s l
arab #eqypt #syria d o u c p
soccer #manutd #manutd a x h c 7
page3 #britney #paris c f 1 y h
arab #eqypt #eqypt f 8 i r 5
elections #gop #bachmann l t i f 4
elections #gop #perry b t k y f
elections #gop #perry 2 d 1 h m
arab #libya #libya 4 d 5 t u
elections #gop #romney w a f 3 i
arab #libya #libya j 7 w 0 a
arab #libya #libya 2 y t e j
soccer #fergie #fergie e z 8 8 i
elections #romney #romney h o e s 4
page3 #khloe #paris p z 8 4 q
arab #arab #syria k 6 i z 0
elections #gop #romney 1 u h k h
elections #gop #bachmann 2 1 i 9 2
soccer #manutd #manutd v n w t d
elections #romney #bachmann 9 5 f m 1
soccer #chica #manutd n 6 h m 1
elections #perry #perry i x 8 i d
elections #perry #bachmann w s 4 l 3
arab #arab #libya a h 9 8 a
page3 #paris #britney s c c w 6
elections #gop #bachmann 8 r v p 8
arab #arab #arab d h z w 9
soccer #manutd #manutd 9 w y y h
elections #gop #gop a m a z x
soccer #chica #manutd z s a r g
arab #syria #arab q c 5 f t
elections #bachmann #bachmann i j h c e
soccer #rooney #manutd j i 4 c k
page3 #kim #paris v 6 a 2 r
soccer #fergie #manutd 4 u 2 k y
soccer #manutd #manutd o q r t v
page3 #kim #khloe a t d i 2
soccer #fergie #manutd q 8 c w i
elections #romney #bachmann k o q x l
arab #libya #libya 5 q m u l
elections #romney #bachmann 0 4 7 j p
page3 #khloe #kim u y e 3 n
page3 #paris #paris 6 3 g o u
elections #gop #romney 9 e 3 y t
arab #libya #libya 3 z 2 b d
elections #gop #gop c g 8 o t
elections #bachmann #gop j n c 6 e
arab #libya #libya p q n w v
elections #romney #romney 7 6 0 j k
arab #arab #arab m a i v p
page3 #britney #kim a g 0 m z
page3 #paris #kim 7 p e y z
elections #romney #perry x i r g a
soccer #manutd #manutd g 9 t c r
page3 #khloe #kim b 2 s o 5
page3 #paris #britney 6 h o z w
elections #perry #gop y 1 1 w h
arab #libya #libya 3 m 7 v r
arab #libya #syria 6 l d v w
elections #bachmann #romney o r b k g
elections #perry #perry l m 4 o m
page3 #khloe #kim c r u t v
elections #bachmann #gop 5 3 r m h
arab #eqypt #syria i a o 7 9
elections #perry #bachmann h c 4 n e
elections #bachmann #gop t x u 3 b
arab #libya #libya l e t 4 b
elections #perry #romney a 7 6 k 1
arab #arab #syria 6 7 o 8 8
elections #gop #romney 0 d y 6 g
arab #arab #arab x 5 e 7 n
elections #gop #perry 8 h 7 7 x
arab #libya #libya j 7 0 7 k
soccer #manutd #manutd x m s e c
elections #romney #gop k 6 1 3 a
elections #bachmann #perry l t s q p
elections #perry #gop 3 1 7 7 m
soccer #chica #rooney 9 v 2 i d
arab #eqypt #libya f u 3 k r
arab #arab #eqypt t e j m a
arab #arab #eqypt p k l x y
soccer #fergie #manutd 9 p c 3 6
elections #bachmann #perry 7 j z e r
page3 #kim #britney q k e 5 9
elections #gop #gop r h k 1 7
arab #arab #syria g i 8 g 6
elections #gop #gop t o n 9 m
arab #arab #arab y a t f e
page3 #kim #khloe p g 0 n 9
elections #perry #romney h y 1 e q
soccer #manutd #fergie y 8 6 a k
page3 #britney #paris 1 z r 7 g
elections #romney #bachmann 4 n w o 2
soccer #manutd #rooney d 8 a v 9
soccer #manutd #manutd t 7 c j 8
elections #perry #perry s a 4 z b
elections #bachmann #bachmann 1 r h t x
elections #bachmann #gop n m 8 e h
elections #gop #bachmann g 8 0 3 2
elections #gop #bachmann d e e o w
elections #romney #bachmann z z 3 e s
soccer #fergie #rooney 7 j n c z
elections #perry #gop m t 4 z x
page3 #kim #kim k j e e h
